nom,safir,siret
POLE EMPLOI,00001,13000548100010
DT 04-05,04016,13000548123640
DT 06,06013,13000548124523
DT MOSELLE,10270,13000548125470
DT ARIEGE AUDE,11030,13000548123038
DT 13,13010,13000548110589
POLE EMPLOI DR MARSEILLE CAPELETTE,13992,13000548121115
POLE EMPLOI DR NORMANDIE - IMPLANTATION CAEN,14056,13000548104970
DT CALVADOS MANCHE,14056,13000548104970
DT CHARENTE CHARENTE-MARITIME,17041,13000548114755
DT BERRY,18029,13000548122782
POLE EMPLOI DIRECTION GENERALE CORSE,20010,13000548124549
CORSE,20010,13000548124549
POLE EMPLOI DR BFC - SIEGE,21069,13000548117501
DT 21,21265,13000548123954
COTES D'ARMOR,22045,13000548121479
DT DORDOGNE CORREZE,24036,13000548107114
DT 25 90,25019,13000548118806
DROME ARDECHE,26085,13000548126452
DT EURE ORNE,27002,13000548122477
DT EURE ET LOIR,28004,13000548106074
FINISTERE,29110,13000548119077
DT GARD - LOZERE,30600,13000548125546
POLE EMPLOI DR OCCITANIE - SIEGE,31096,13000548116990
DT HAUTE GARONNE,31403,13000548125397
POLE EMPLOI DR NOUVELLE AQUITAINE - SIEGE,33127,13000548119424
DT GIRONDE,33390,13000548123772
DT HERAULT,34300,13000548120430
POLE EMPLOI BRETAGNE (SIEGE),35076,13000548108070
ILLE ET VILAINE,35141,13000548120687
DT VALLEE DE LA LOIRE,37056,13000548120927
ISERE,38040,13000548124283
DT LANDES LOT-ET-GARONNE,40029,13000548123020
LOIRE HAUTE-LOIRE,42060,13000548120091
DT LOIRE ATLANTIQUE,44060,13000548125850
POLE EMPLOI,44116,13000548113153
DT LOIRET,45000,13000548119440
POLE EMPLOI DR CENTRE VAL DE LOIRE,45054,13000548116917
DT MAINE ET LOIRE,49104,13000548110522
DT ARDENNES,51023,13000548105456
DT MARNE,52653,13000548125363
DT HAUT RHIN,54125,13000548118707
DT AUBE 10 - HAUTE MARNE 52,55246,13000548126205
MORBIHAN,56106,13000548117709
DT MEURTHE ET MOSELLE - MEUSE,57561,13000548121925
POLE EMPLOI DR HDF - SIEGE,59212,13000548112007
DT NORD,59470,13000548116099
DT OISE,60260,13000548125678
POLE EMPLOI DR HDF - IMPLANTATION ARRAS,62750,13000548123517
DT PAS DE CALAIS,62750,13000548123517
POLE EMPLOI DR ARA C FERRAND DT 63 PLAT.,63074,13000548110126
PUYS ALLIER CANTAL,63074,13000548110951
DT PYRENEES-ATLANTIQUES,64093,13000548124804
DT GERS - HAUTES-PYRENEES,65020,13000548121644
DT PYRENEES ORIENTALES,66004,13000548119960
POLE EMPLOI DR GRAND EST - SIEGE,67085,13000548119044
RHONE,69050,13000548122170
POLE EMPLOI DR ARA - SIEGE,69188,13000548119820
DT 39 70,70007,13000548125926
DT 71,71002,13000548117238
DT SARTHE MAYENNE,72203,13000548122337
AIN SAVOIE,73055,13000548119580
HAUTE SAVOIE LEMAN,74063,13000548124457
DT PARIS,75082,13000548118046
POLE EMPLOI DRA ILE DE FRANCE,75980,13000548118277
DT SEINE MARITIME,76266,13000548125058
DT SEINE ET MARNE,77206,13000548100879
DT YVELINES,78201,13000548120208
DT AISNE - SOMME,80073,13000548125025
DT VOSGES,08056,13000548121271
DT AVEYRON - TARN,81003,13000548115216
DT LOT - TARN-et-GARONNE,82013,13000548125843
DT 83,83142,13000548119564
DT 84,84002,13000548125199
DT VENDEE,85004,13000548125967
POLE EMPLOI DR NAQUITAINE - IMPL ST BENOIT,86006,13000548124663
DT POITOU,86083,13000548121065
POLE EMPLOI DR NAQUITAINE - IMPL LIMOGES,87001,13000548122923
DT CREUSE HAUTE-VIENNE,87068,13000548122923
DT BAS RHIN,88654,13000548123491
DT 58 89,89031,13000548124689
DT ESSONNE,91211,13000548119788
DT HAUTS DE SEINE,92301,13000548125975
DT SEINE SAINT DENIS,93326,13000548125041
DT VAL DE MARNE,94305,13000548125041
DT VAL D OISE,95204,13000548125942
DT BASSE-TERRE ET MARIE-GALANTE,97120,13000548122535
MARTINIQUE,97201,13000548125306
POLE EMPLOI DIRECTION REGIONALE MARTINIQUE,97210,13000548125306
POLE EMPLOI DIRECTION REGIONALE GUYANE,97310,13000548117345
GUYANE,97312,13000548109847
REUNION,97400,13000548110290
POLE EMPLOI DIRECTION REGIONALE REUNION,97410,13000548117568
MAYOTTE,97600,13000548121990
POLE EMPLOI DR MAYOTTE,97609,13000548121990
POLE EMPLOI DIRECTION REGIONALE GUADELOUPE,97708,13000548124556
DT GRANDE -TERRE CAP EXCELLENCE,97708,13000548124556
