Aurore;Safir
ARA0014;63019
ARA0018;63000
ARA0021;63021
ARA0024;63044
ARA0026;63052
ARA0029;63075
ARA0030;63083
ARA0032;63101
ARA0041;43034
ARA0042;43011
ARA0045;43026
ARA0049;15012
ARA0052;15035
ARA0059;03000
ARA0062;03014
ARA0065;03022
ARA0088;38041
ARA0089;38030
ARA0090;38017
ARA0093;38037
ARA0094;38075
ARA0095;38091
ARA0096;38101
ARA0099;38124
ARA0100;38171
ARA0101;38013
ARA0104;38021
ARA0106;38036
ARA0108;38044
ARA0109;38052
ARA0110;38060
ARA0133;69040
ARA0134;69027
ARA0135;69021
ARA0136;69014
ARA0138;69003
ARA0142;69184
ARA0143;69225
ARA0144;69233
ARA0145;69241
ARA0147;69256
ARA0148;69272
ARA0150;69313
ARA0152;69065
ARA0154;69073
ARA0157;69096
ARA0158;69106
ARA0159;69109
ARA0160;69114
ARA0161;69122
ARA0162;69130
ARA0163;69153
ARA0164;69176
ARA0173;74013
ARA0176;74016
ARA0181;74024
ARA0184;74032
ARA0185;74040
ARA0186;74055
ARA0188;74086
ARA0201;73011
ARA0203;73000
ARA0204;73014
ARA0207;73022
ARA0208;73030
ARA0209;73002
ARA0210;73045
ARA0212;42045
ARA0227;42024
ARA0228;42032
ARA0229;42040
ARA0231;42055
ARA0233;42063
ARA0234;42071
ARA0235;42112
ARA0238;42120
ARA0239;42135
ARA0252;26001
ARA0255;26015
ARA0261;26023
ARA0262;26031
ARA0265;26054
ARA0267;26062
ARA0268;07015
ARA0270;07023
ARA0271;07031
ARA0273;07046
ARA0280;01019
ARA0283;01004
ARA0284;01080
ARA0285;01010
ARA0290;01025
ARA0291;01033
ARA0293;01064
BFC0005;58006
BFC0013;89002
BFC0020;89044
BFC0021;89052
BFC0022;89060
BFC0023;58062
BFC0027;58054
BFC0037;71001
BFC0038;71010
BFC0039;71041
BFC0043;71056
BFC0044;71064
BFC0046;71072
BFC0047;71080
BFC0048;71095
BFC0052;21013
BFC0057;21005
BFC0062;21051
BFC0064;21066
BFC0065;21074
BFC0067;21090
BFC0080;70062
BFC0083;70070
BFC0084;70015
BFC0086;70046
BFC0087;39015
BFC0089;39046
BFC0092;39054
