type,nom,safir,siret,Libelle de l'adresse,Code postal,Libelle de la commune,Libelle de la DR,Libelle de la DT,Libelle de la DTD,Libelle APE de rattachement,Complement d'adresse,Distribution speciale 1,Bureau distributeur,Latitude,Longitude
DG,DIRECTION GENERALE,00001,13000548100010,1 AVENUE DU DOCTEUR GLEY,75987,PARIS 20,,,,,LE CINETIC,,PARIS CEDEX 20,"48,877296","2,410212"
DT,DT MARNE,51023,13000548105456,51 ESPLANADE FLECHAMBAULT,51100,REIMS,GRAND EST,,,,,,REIMS,"49,242033","4,037625"
DT,DT VENDEE,85004,13000548106660,33 RUE DU COMMERCE,85000,LA ROCHE SUR YON,PAYS DE LA LOIRE,,,,,,LA ROCHE SUR YON,"46,65435","-1,442554"
DR,BRETAGNE,35076,13000548108070,36 RUE DE LEON,35053,RENNES,,,,,,CS,RENNES CEDEX 9,"48,111781","-1,680264"
DT,DT GUYANE,97312,13000548109847,48 AVENUE PASTEUR,97306,CAYENNE,GUYANE,,,,,BP 6018,CAYENNE CEDEX,"4,944071","-52,321263"
DT,DT MAINE ET LOIRE,49104,13000548110522,6 RUE DES BASSES FOUASSIERES,49000,ANGERS,PAYS DE LA LOIRE,,,,,,ANGERS,"47,472199","-,580984"
DR,HAUTS-DE-FRANCE,59212,13000548112007,28 RUE ELISEE RECLUS,59650,VILLENEUVE D ASCQ,,,,,,,VILLENEUVE D ASCQ,"50,60698","3,13298"
DR,PAYS DE LA LOIRE,44116,13000548113153,1 RUE DE LA CALE CRUCY,44179,NANTES,,,,,,,NANTES CEDEX 4,"47,197523","-1,585425"
DT,DT CHARENTE CHARENTE-MARITIME,17041,13000548114755,BOULEVARD DU COMMANDANT CHARCOT,17446,AYTRE,NOUVELLE-AQUITAINE,,,,,,AYTRE CEDEX,"46,135823","-1,125038"
DT,DT AVEYRON-TARN,81003,13000548115216,7 RUE GUSTAVE EIFFEL,81000,ALBI,OCCITANIE,,,,ZONE ALBITECH,,ALBI,"43,917463","2,162067"
DT,DT NORD,59470,13000548116099,677 AVENUE DE LA REPUBLIQUE,59000,LILLE,HAUTS-DE-FRANCE,,,,CINQUIEME ETAGE,,LILLE,"50,631286","3,062753"
DT,DT MEURTHE ET MOSELLE - MEUSE,54127,13000548116412,2 ROND-POINT MARGUERITE DE LORRAINE,54052,NANCY,GRAND EST,,,,,CS65201,NANCY CEDEX,"48,678018","6,182443"
DT,DT 77 SEINE-ET-MARNE,77206,13000548116859,RUE DU 19 MARS 1962,77170,BRIE COMTE ROBERT,ILE DE FRANCE,,,,,,BRIE COMTE ROBERT,"48,685495","2,608641"
DR,OCCITANIE,31096,13000548116990,33 AVENUE GEORGES POMPIDOU,31131,BALMA,,,,,BATIMENT E,CS 93186,BALMA CEDEX,"43,628985","1,489879"
DT,DT 71,71002,13000548117238,,71109,CHALON SUR SAONE,BOURGOGNE-FRANCHE-COMTE,,,,,TSA,CHALON SUR SAONE CEDEX,"46,784384","4,852894"
DR,GUYANE,97310,13000548117345,19 AVENUE PASTEUR,97325,CAYENNE,,,,,,BP 223,CAYENNE CEDEX,"4,944071","-52,321263"
DR,BOURGOGNE-FRANCHE-COMTE,21069,13000548117501,41 AVENUE FRANCOISE GIROUD,21078,DIJON,,,,,SITE DE DIJON VALMY  LE KATAMARAN,CS,DIJON CEDEX,"47,3645","5,04928"
DR,REUNION,97410,13000548117568,62 BOULEVARD DU CHAUDRON,97713,ST DENIS,,,,,CENTRE DAFFAIRES CADJEE  BAT C,CS 52008,ST DENIS CEDEX 9,-20898,"55,4959"
DT,MORBIHAN,56106,13000548117709,3 RUE CAMILLE CLAUDEL,56890,VANNES,BRETAGNE,,,,BATIMENT L 2EME ETAGE,,PLESCOP,"47,676448","-2,800869"
DT,DT 75 PARIS,75082,13000548118046,2123 RUE DES ARDENNES,75019,PARIS 19,ILE DE FRANCE,,,,,,PARIS,"48,890249","2,384837"
DR,ILE DE FRANCE,75980,13000548118277,3 RUE GALILEE,93192,NOISY LE GRAND,,,,,IMMEUBLE PLUTON,,NOISY LE GRAND CEDEX,"48,844063","2,546758"
DT,DT HAUT RHIN,68311,13000548118707,2 RUE FREDO KRUMNOW,68057,MULHOUSE,GRAND EST,,,,BP2453,68200,MULHOUSE CEDEX 2,"47,746492","7,29823"
DT,DT 25 90,25019,13000548118806,7 AVENUE DES MONTBOUCONS,25044,BESANCON,BOURGOGNE-FRANCHE-COMTE,,,,TEMIS CENTER 5 - 3 EME ETAGE,,BESANCON CEDEX,"47,25121","5,998677"
DT,FINISTERE,29110,13000548119077,130 RUE ERNEST HEMINGWAY,29200,BREST,BRETAGNE,,,,,,BREST,"48,385604","-4,477666"
DR,NOUVELLE-AQUITAINE,33127,13000548119424,87 RUE NUYENS,33056,BORDEAUX,,,,,,TSA 9000,BORDEAUX CEDEX,"44,843958","-,56061"
DT,AIN SAVOIE,73055,13000548119580,20 RUE DU LAC MAJEUR,73370,LE BOURGET DU LAC,AUVERGNE-RHONE-ALPES,,,,SAVOIE TECHNOLAC  PARC OURAGAN BAT B,,LE BOURGET DU LAC,"45,643704","5,868401"
DT,ILLE ET VILAINE,35141,13000548119812,22 RUE DU BIGNON,35000,RENNES,BRETAGNE,,,,,,RENNES,"48,096927","-1,629354"
DR,AUVERGNE-RHONE-ALPES,69188,13000548119820,13 RUE CREPET,69364,LYON 07,,,,,,CS 70402,LYON CEDEX 07,"45,739765","4,8336"
DT,DT PYRENEES ORIENTALES,66004,13000548119960,4 AV AMBROISE CROIZAT,66330,CABESTANY,OCCITANIE,,,,IMMEUBLE CAMCOM,,CABESTANY,"42,69295","2,93124"
DT,LOIRE HAUTE-LOIRE,42060,13000548120091,59 RUE DES ACIERIES,42019,ST ETIENNE,AUVERGNE-RHONE-ALPES,,,,,TSA,ST ETIENNE CEDEX 1,"45,45759","4,393407"
DT,DT 78 YVELINES,78201,13000548120208,3 AVENUE DU 8 MAI 1945,78280,GUYANCOURT,ILE DE FRANCE,,,,,,GUYANCOURT,"48,785455","2,054704"
DT,DT HERAULT,34300,13000548120430,1025 RUE  HENRI BECQUEREL,34000,MONTPELLIER,OCCITANIE,,,,PARC CLUB MILLENAIRE 2°ETAGE BAT 22,,MONTPELLIER,"43,61516","3,914425"
DT,DT 58 89,89031,13000548120596,RUE,89019,AUXERRE,BOURGOGNE-FRANCHE-COMTE,,,,,TSA,AUXERRE CEDEX,"47,798378","3,574482"
DT,DT VALLEE DE LA LOIRE,37056,13000548120927,55 AVENUE GEORGES POMPIDOU,37703,ST PIERRE DES CORPS,CENTRE-VAL DE LOIRE,,,,,TSA,ST PIERRE DES CORPS CEDEX,"47,391461",",706797"
DR,NORMANDIE,76115,13000548121040,90 AVENUE DE CAEN,76040,ROUEN,,,,,LE FLORAL,CS,ROUEN CEDEX,"49,429595","1,074097"
DR,PROVENCE ALPES COTE D'AZUR,13992,13000548121115,34 RUE ALFRED CURTEL,13395,MARSEILLE 10,,,,,,CS 80149,MARSEILLE CEDEX 10,"43,278449","5,407216"
DT,DT 13,13010,13000548121115,34 RUE ALFRED CURTEL,13395,MARSEILLE 10,PROVENCE ALPES COTE D'AZUR,,,,,CS 80149,MARSEILLE CEDEX 10,"43,278449","5,407216"
DT,DT SUD OUEST,97549,13000548121453,40 RUE FRANCOIS DE MAHY,97410,ST PIERRE,REUNION,,,,,,ST PIERRE,"-21,339293","55,475728"
DT,COTES D'ARMOR,22045,13000548121479,25 RUE DE LA HUNAUDAYE,22045,ST BRIEUC,BRETAGNE,,,,,TSA,ST BRIEUC CEDEX 2,"48,521915","-2,800086"
DT,DT GERS - HAUTES-PYRENEES,65020,13000548121644,8 AVENUE DES TILLEULS,65000,TARBES,OCCITANIE,,,,MCEF,,TARBES,"43,242563",",079036"
DT,DT 91 ESSONNE,91211,13000548119788,9 COURS BLAISE PASCAL,91000,EVRY COURCOURONNES,ILE DE FRANCE,,,,,,EVRY,"48,628035","2,430981"
DT,DT MOSELLE,57561,13000548121925,47 RUE HAUTE SEILLE,57036,METZ,GRAND EST,,,,3 IEME ETAGE,BP 21097,METZ CEDEX 01,"49,114462","6,17209"
DR,MAYOTTE,97609,13000548121990,33 LOT DES HAUTS VALLONS,97600,MAMOUDZOU,,,,,RESIDENCE DE L'HORLOGE,,MAMOUDZOU,"-12,781348","45,232027"
DT,DT MAYOTTE,97600,13000548121990,33 LOT DES HAUTS VALLONS,97600,MAMOUDZOU,MAYOTTE,,,,RESIDENCE DE L'HORLOGE,,MAMOUDZOU,"-12,781348","45,232027"
